==== Start of Transcript: Personal Brand Coaching Week 6 ====

Coaching Week 6 - Brand Focus Group

[00:00:02] Sue Bryce | Start your dancing. I do my dancing before.

[00:00:04] Sue Bryce | It's all my nervous energy. Hi, everybody. I would just like to say we don't have my beautiful Jen in the

[00:00:04] Sue Bryce | chat today because she got a family emergency. So I had to do my own keynote today, which means it's super ugly again, and you've been, like, so spoiled. I even tried to put some color into it. I was like, you know what? I don't wanna make it too hard.

[00:00:26] Sue Bryce | I like lift Jen's borders and everything, but as I started to do it, I'm like, I'm not gonna spend time making this look pretty. And so

[00:00:31] Sue Bryce | sorry for the ugly keynote. We're gonna get Jen back

[00:00:37] Sue Bryce | and when Jen comes back, I'm just gonna have her fix it so that you guys can get a much better keynote. I wanna talk to you about surveying clients because surveying an audience of people is the fastest way for you to get data. So I wrote in this week's session, we're diving into the art of feedback. Nobody likes asking for feedback. You know, one of the weirdest things about, my husband that creates these big events, WPPI, and the portrait masters, He walks around the show, and he asks every single person, what did we do right, and what did we do wrong?

[00:01:11] Sue Bryce | And then he comes and tells me, and I'm like, just tell me what we did right. And he goes, but we've got to know what we do wrong. And I was like, no, you don't. When you're on stage you don't want to know, and he goes, but it is. It's what you have to know.

[00:01:25] Sue Bryce | And I was like, it's the hardest part, and so what we're doing is we're going to ask our clients for feedback, and we're going to build a network of people that can give us feedback. And let me teach you how to do that, but I think one of the craziest things about feedback is we all operate from a fear of rejection, so nobody wants to come from a what am I doing wrong place, right? Oh, what am I doing wrong? But what you don't get when you don't ask for feedback is you don't understand what you're doing right, and don't expect that everybody's going to come up to you and tell you what you're doing right, because when they do want to come and talk to you, most people want to talk about themselves. Okay?

[00:02:06] Sue Bryce | So they wanna talk about

[00:02:08] Sue Bryce | themselves because they've heard your story, and now they get to tell you their story,

[00:02:08] Sue Bryce | and so you get to hear their story, but I really want to like create this amazing community and network around me, and I know that it's really about, it's hard when you have an audience out there and every one of them want to spend personal time with you. So why do we survey people? It's really simple. It can be anonymous. So yes, you will see the email address come in, but if you set up an anonymous survey, people will be more honest with you.

[00:02:44] Sue Bryce | Right? So the whole point about that is if people make the effort to fill it out, they're either going to really like you or really hate you, but they're not gonna take the time to fill it out if their experience was somewhere in between. We know that when people are angry, they speak forcefully, and it comes out

[00:03:04] Sue Bryce | very confidently just because they're angry, but it doesn't translate the same when people like you to go and give

[00:03:04] Sue Bryce | you a positive review. So a survey gives the opportunity for them to be very honest with you over a message email that they may not have said to your face, but we're really surveying for 3 things. We want feedback. We want data points that we can market with. And we really wanna nourish a testimonial out of these people.

[00:03:34] Sue Bryce | And the fastest way to get those things is to ask for them, but these are the two things that when you're surveying that are really the most important thing, it's for you to understand how these clients experienced you and

[00:03:47] Sue Bryce | your product and your service. Like, how are they

[00:03:47] Sue Bryce | experiencing it? Because if you get feedback that is like every time I come to this group, blah blah blah, every time I tell people I'm part of this group, you're getting information as to why they want to be part of your community, part of your following, part of your membership, and that's something you don't understand because you don't know how good you are.

[00:04:13] Sue Bryce | You don't. You're so focused on being good enough. You have not, you have not worked out how good you are at what you do. So this is also to understand how your clients see

[00:04:17] Sue Bryce | you they see you as an entity. They don't see you just as another person. They see you as somebody doing things. Some people see you as somebody doing something they want. Some people see you as someone living their dream.

[00:04:40] Sue Bryce | Some people see you as someone, why are they even getting attention? It doesn't matter, but what they're saying in you, and they tell you, and when you hear that for the first time, you're like, Now, most people come up to me and go, super. It's so glad to meet you. I know you hear this all the time, but I think you're amazing, and I'm like, where do I hear that all the time? Do you think I hear that all the time on Instagram?

[00:05:04] Sue Bryce | People aren't writing, you're amazing. I mean, some people do once or twice, you're so amazing, but it's not like It's not real. It's not good feedback. It's not real feedback, and it's not even based on a truth for me. So I'm always like, where do you think I'm getting all this positive feedback from when mostly what I'm getting is criticism?

