==== Start of Transcript: Personal Brand Coaching Week 8 ====

Coaching Week 8 - 

[00:00:00] Sue Bryce | Hi, everyone. Sarah said

[00:00:02] Sue Bryce | don't clap early. We all clap early. It's our last day together. I know it hard, isn't it? It's like every week that you turn up, and then it's like, oh, I'm not gonna be here next week, but the good thing for me is I get to go and write a whole lot more content.

[00:00:20] Sue Bryce | Today, what I did was I went through all eight keynotes from the 1st 2 days, and then I went through 7 weeks of coaching, and I removed any fluff, and I only left the slide if it was an actionable step that you're gonna take for your business. I kept it in the exact linear flow of how I taught the class so that you can if any of them flag you, you can actually go back to that coaching week or back to that coaching keynote or the first, 8 keynotes. You can go back and deep dive on that if you feel like you need to. But what I really want you to do today is as we go through all of these slides, I'm gonna wrap this up really like in one bow. So from the moment I start talking, I'm not gonna take questions.

[00:00:59] Sue Bryce | Let me get it all out. It might take 30 minutes. But what I'm gonna do is walk through every actionable point that you've learned in this workshop.

[00:01:12] Sue Bryce | So at any time, you can come back to this specific video, hit

[00:01:12] Sue Bryce | play, and there won't be Q and A in there, they want it'll just flow into next step

[00:01:23] Sue Bryce | and next step and next step. And I do want you to do it in linear order unless you get to a step and you

[00:01:23] Sue Bryce | think that's not for me right now. That's not, or I don't want to do it that way, I'll do it differently, or I'm not ready to do this step. Just flag that, and we're gonna focus on all the actionable steps to move forward. So as I was just telling these guys, sitting here, it's more important

[00:01:49] Sue Bryce | to me that you identify what your big next steps are than anything else with this workshop and

[00:01:49] Sue Bryce | then taking actionable steps every single day to make sure

[00:02:01] Sue Bryce | that it's helping your business.

[00:02:01] Sue Bryce | So I'll do this in one big flow, and I want you to mark every slide that you need to work on. You can just give yourself a one word prompt there are a 110 slides in this presentation.

[00:02:17] Sue Bryce | All of them have an actionable point to them. So make sure you mark which ones so that you can come back to those

[00:02:17] Sue Bryce | steps because I want you to start walking those steps and that's really, really important to me. Okay. Let's

[00:02:31] Sue Bryce | get going. Number 1, your your brand is your face value, and we're looking for value and connection. That's what we're looking for.

[00:02:31] Sue Bryce | Mostly, I'm looking for brand clarity I know who I am, I know what I want, I know what I do, and I know who I do it for. That is your brand. Now what do you want for this brand? I made you do the $1,000,000 dream, I made you walk the multiverse. I made you create a vision for yourself.

[00:03:05] Sue Bryce | Now what do you want is the most important thing you can ask as you're building any brand, and I'm not saying what do you want? I'm saying what do you

[00:03:09] Sue Bryce | want. The most incredible part about that, it doesn't obviously require

